AL,2005,4,272.22
AL,2006,1,277.87
AL,2006,2,282.37
AL,2006,3,286.85
AL,2006,4,292.4
AL,2007,1,294.25
AL,2007,2,298.32
AL,2007,3,299.05
AL,2007,4,301.25
AL,2008,1,303.21
AL,2008,2,302.09
AL,2008,3,299.81
AL,2008,4,301.34
AL,2009,1,303.45
AL,2009,2,300.23
AL,2009,3,293.15
AL,2009,4,292.21
AL,2010,1,287.94
AL,2010,2,283.64
AL,2010,3,287.49
AL,2010,4,285.19
AL,2011,1,277.61
AL,2011,2,273.85
AL,2011,3,275.94
AL,2011,4,278.23
AL,2012,1,275.26
AL,2012,2,273.38
AL,2012,3,275.25
AL,2012,4,275.71
AL,2013,1,272.94
AL,2013,2,273.58
AL,2013,3,273.04
AL,2013,4,271.95
AL,2014,1,273.66
AL,2014,2,274.29
AL,2014,3,277.24
AL,2014,4,278.66
AL,2015,1,281.64
AL,2015,2,282.34
AL,2015,3,284.11
AL,2015,4,285.95
AL,2016,1,286.64
AL,2016,2,290.65
AL,2016,3,295.13
AL,2016,4,294.21
AL,2017,1,295.86
AL,2017,2,299.38
AL,2017,3,302.18
AL,2017,4,304.22
AL,2018,1,307.44
AL,2018,2,311.94
AL,2018,3,314.99
AL,2018,4,315.42
AL,2019,1,321.42
AL,2019,2,325.95
AL,2019,3,330.61
AL,2019,4,334.48
AL,2020,1,338.46
AL,2020,2,343.31
AL,2020,3,349.97
AL,2020,4,357.3
AL,2021,1,364.76
AL,2021,2,381.68
AL,2021,3,403.31
AL,2021,4,419.68
AL,2022,1,431.88
AL,2022,2,455.85
AL,2022,3,468.87
AL,2022,4,468.39
AL,2023,1,474.25
AL,2023,2,482.78
AL,2023,3,492.57
AL,2023,4,490.16
AL,2024,1,498.86
AL,2024,2,510.74
AL,2024,3,516.54
AL,2024,4,522.5
AL,2025,1,520.41
AL,2025,2,532.4
AL,2025,3,529.34
AR,1975,1,67.16
AR,1975,2,60.19
AR,1975,3,64.87
AR,1975,4,61.96
AR,1976,1,66.18
AR,1976,2,68.02
AR,1976,3,70.46
AR,1976,4,71.57
AR,1977,1,72.47
AR,1977,2,75.35
AR,1977,3,76.75
AR,1977,4,79.85
AR,1978,1,80.04
AR,1978,2,80.79
AR,1978,3,85.41
AR,1978,4,84.73
AR,1979,1,90.34
AR,1979,2,93.91
AR,1979,3,98.29
AR,1979,4,101.01
AR,1980,1,100.0
AR,1980,2,100.43
AR,1980,3,105.35
AR,1980,4,107.92
AR,1981,1,106.93
AR,1981,2,105.8
AR,1981,3,108.65
AR,1981,4,102.34
AR,1982,1,101.33
AR,1982,2,104.96
AR,1982,3,109.83
AR,1982,4,107.84
AR,1983,1,111.58
AR,1983,2,114.92
AR,1983,3,115.71
AR,1983,4,116.64
AR,1984,1,118.72
AR,1984,2,116.67
AR,1984,3,118.17
AR,1984,4,119.5
AR,1985,1,119.36
AR,1985,2,118.35
AR,1985,3,122.74
AR,1985,4,122.64
AR,1986,1,124.12
AR,1986,2,126.88
AR,1986,3,125.16
AR,1986,4,126.34
AR,1987,1,127.18
AR,1987,2,129.03
AR,1987,3,126.57
AR,1987,4,122.55
AR,1988,1,124.74
AR,1988,2,126.12
AR,1988,3,125.0
AR,1988,4,124.36
AR,1989,1,125.14
AR,1989,2,125.58
AR,1989,3,126.39
AR,1989,4,125.59
AR,1990,1,126.13
AR,1990,2,126.5
AR,1990,3,127.21
AR,1990,4,126.62
AR,1991,1,127.99
AR,1991,2,128.57
AR,1991,3,129.56
AR,1991,4,131.85
AR,1992,1,133.09
AR,1992,2,132.2
AR,1992,3,134.66
AR,1992,4,135.23
AR,1993,1,136.54
AR,1993,2,138.72
AR,1993,3,141.25
AR,1993,4,142.89
AR,1994,1,145.77
AR,1994,2,146.95
AR,1994,3,148.68
AR,1994,4,149.77
AR,1995,1,150.66
AR,1995,2,154.89
AR,1995,3,156.66
AR,1995,4,157.44
AR,1996,1,159.61
AR,1996,2,160.1
AR,1996,3,159.74
AR,1996,4,161.42
AR,1997,1,162.98
AR,1997,2,164.35
AR,1997,3,165.16
AR,1997,4,167.61
AR,1998,1,169.37
AR,1998,2,169.2
AR,1998,3,172.14
AR,1998,4,174.05
AR,1999,1,174.84
AR,1999,2,174.96
AR,1999,3,175.6
AR,1999,4,176.14
AR,2000,1,177.12
AR,2000,2,178.81
AR,2000,3,179.91
AR,2000,4,182.27
AR,2001,1,186.78
AR,2001,2,187.93
AR,2001,3,189.89
AR,2001,4,191.83
