state,year,suicide_rate,hpi_growth,log_suicide
CT,2014,9.8,1.0387132674421815,2.2823823856765264
CT,2015,9.9,0.8418347276494043,2.2925347571405443
CT,2016,10.1,1.4693644023717978,2.312535423847214
CT,2017,10.5,0.5817976779352474,2.3513752571634776
CT,2018,11.0,0.7083885434716164,2.3978952727983707
CT,2019,10.8,3.9193360659885546,2.379546134130174
CT,2020,10.4,6.5131114411628666,2.341805806147327
CT,2021,10.8,16.074612536003286,2.379546134130174
CT,2022,11.2,10.350939383197467,2.4159137783010487
DC,1999,5.1,,1.62924053973028
DC,2000,3.8,13.643617021276588,1.33500106673234
DC,2001,6.5,17.00210624853733,1.8718021769015916
DC,2002,5.2,15.224855818915216,1.6486586255873816
DC,2003,6.1,13.18713111908345,1.8082887711792652
DC,2004,5.5,22.974285568222477,1.7047480922384253
DC,2005,5.4,23.190604863853647,1.6863989535702288
DC,2006,5.2,5.672634012182165,1.6486586255873816
DC,2007,6.0,-0.1692506666240767,1.791759469228055
DC,2008,7.3,-7.853110055499579,1.9878743481543453
DC,2009,4.4,-2.117577630048784,1.4816045409242156
DC,2010,6.9,0.8352100437997612,1.9315214116032136
DC,2011,5.6,1.6073438379290872,1.7227665977411035
DC,2012,5.7,4.958634774481641,1.7404661748405046
DC,2013,5.7,8.505515888066228,1.7404661748405046
DC,2014,7.8,8.097141380830063,2.0541237336955462
DC,2015,4.9,6.936692488295915,1.589235205116581
DC,2016,5.2,5.597991138924319,1.6486586255873816
DC,2017,6.6,4.193174885770845,1.88706964903238
DC,2018,6.7,4.750923060378298,1.9021075263969205
DC,2019,7.2,3.5179376033764864,1.9740810260220096
DC,2020,6.6,4.51134447762509,1.8870696490323797
DC,2021,7.0,8.708075451008511,1.9459101490553132
DC,2022,7.5,3.0125506779693945,2.0149030205422647
DE,1999,11.0,,2.3978952727983707
DE,2000,10.4,6.73035511530482,2.341805806147327
DE,2001,13.5,7.432134996331619,2.602689685444384
DE,2002,9.1,8.72771972956361,2.2082744135228043
DE,2003,11.4,10.074744048740648,2.4336133554004498
DE,2004,11.0,15.192582025677616,2.3978952727983707
DE,2005,9.7,14.266253869969049,2.272125885509337
DE,2006,10.3,6.853798634442399,2.33214389523559
DE,2007,10.6,0.0040570420106744,2.360854001118021
DE,2008,11.9,-5.383476338262438,2.476538400117484
DE,2009,11.7,-5.601886590202598,2.4595888418037104
DE,2010,11.3,-2.6276344476744207,2.424802725718295
DE,2011,11.0,-4.981924198250731,2.3978952727983707
DE,2012,13.2,-1.4924274037163343,2.580216829592325
DE,2013,12.5,1.2484114524930812,2.525728644308256
DE,2014,13.2,1.4840519787359785,2.580216829592325
DE,2015,12.6,2.580332242027405,2.533696813957432
DE,2016,11.5,3.023712144495128,2.4423470353692043
DE,2017,11.6,1.38831520491991,2.451005098112319
DE,2018,12.9,3.2455921960935274,2.5572273113676265
DE,2019,13.4,4.213341517416747,2.5952547069568657
DE,2020,12.1,5.763688760806929,2.4932054526026954
DE,2021,13.0,16.495952584578056,2.5649493574615367
DE,2022,13.5,11.114335956840193,2.6026896854443837
FL,1999,12.2,,2.501435951739211
FL,2000,12.4,8.214031881409278,2.517696472610991
FL,2001,13.5,10.489772940514165,2.602689685444384
FL,2002,13.3,10.517153532608692,2.5877640352277083
FL,2003,12.8,12.08651888278458,2.5494451709255714
FL,2004,13.0,19.893744644387333,2.5649493574615367
FL,2005,12.5,27.50507447325536,2.525728644308256
FL,2006,12.6,7.652466367712996,2.533696813957432
FL,2007,13.2,-7.795805302730507,2.580216829592325
FL,2008,13.9,-22.04879150666365,2.631888840136646
FL,2009,14.4,-11.431800399895677,2.667228206581955
FL,2010,13.7,-5.234916895694286,2.617395832834079
FL,2011,13.9,-5.872807623256449,2.631888840136646
FL,2012,14.4,1.030700950005503,2.667228206581955
FL,2013,13.8,10.12198663955852,2.624668592163159
FL,2014,13.9,8.324541738098379,2.631888840136646
FL,2015,14.4,9.419606172200744,2.667228206581955
FL,2016,14.0,9.103805073431248,2.6390573296152584
FL,2017,14.0,8.219247928616946,2.6390573296152584
FL,2018,14.5,6.534900704374658,2.6741486494265287
FL,2019,14.5,5.906286624062962,2.6741486494265287
FL,2020,13.8,7.416377834384269,2.624668592163159
FL,2021,14.2,24.787155463981648,2.653241964607215
FL,2022,14.8,18.178136390541756,2.6946271807700692
GA,1999,11.2,,2.4159137783010487
GA,2000,10.7,6.332907320082848,2.3702437414678603
GA,2001,11.4,6.776359416445632,2.4336133554004498
GA,2002,11.1,4.471528936847413,2.4069451083182885
GA,2003,11.6,3.373583503622535,2.451005098112319
GA,2004,11.3,5.139632678000194,2.424802725718295
GA,2005,10.6,5.743000717875102,2.360854001118021
GA,2006,10.3,4.341641612517377,2.33214389523559
GA,2007,10.9,1.1804436733176438,2.388762789235098
GA,2008,10.4,-4.544201855651153,2.341805806147327
GA,2009,11.9,-6.33240304109326,2.476538400117484
