state,year,mean_roa,median_roa,roa_std,roa_iqr,n_firms
SC,1984,0.08755970378708719,0.12738101516952624,0.1838926047401248,0.12888910925749547,35
SC,1985,0.08258287566151351,0.09558740062550641,0.14884236076261173,0.13677220399224424,33
SC,1986,0.12231208901343876,0.13650905597755128,0.18523648903914147,0.12638520623723137,32
SC,1987,0.1358439170075804,0.14320518997312254,0.12071222189362768,0.1337454348945005,38
SC,1988,0.10279436253547349,0.13702995356476882,0.19345702521191815,0.14351859722648544,38
SC,1989,0.11218761952260983,0.10947984406059172,0.10221368045022973,0.1050084873295883,38
SC,1990,0.13376953965742722,0.13578694575041672,0.08439625043419936,0.08412689495089365,34
SC,1991,0.11951228506062404,0.13295540880135587,0.1144943506742532,0.10291370531388125,37
SC,1992,0.14094633910894347,0.13884298544587173,0.08297073638692543,0.1045918234288593,41
SC,1993,0.11126059759001909,0.09535939749695427,0.08723301479869809,0.15806149339148481,57
SC,1994,0.1185774833178553,0.10871802024952842,0.11824472112488364,0.1451606259811009,60
SC,1995,0.07081525073159667,0.09839854827469623,0.14941204702842079,0.10639134317661691,55
SC,1996,0.07817527591178618,0.09545318722540715,0.1248619395574901,0.11335330144773037,54
SC,1997,0.07465749983285651,0.08779884792979939,0.13817107969931192,0.12087375208859749,52
SC,1998,0.052541739916932964,0.09664277899204675,0.15667682764954918,0.10613450977745113,51
SC,1999,0.0584471247395623,0.08296011566808902,0.14637670039068548,0.10787835058227585,53
SC,2000,0.058397748802170656,0.06686536947474975,0.17186555799837103,0.111873132957773,51
SC,2001,0.06700707280511553,0.0513703101896106,0.07730997380849149,0.09652801903390257,44
SC,2002,0.07292954940242967,0.05707218939225987,0.08780198329672795,0.08464281642348714,43
SC,2003,0.07152324306494577,0.03457617966264163,0.08600207403672418,0.07617430106711325,44
SC,2004,0.08065435476832991,0.04733433697337634,0.07887864436093017,0.10250104641553298,40
SC,2005,0.08632586022387714,0.029116745611590972,0.09169756613053015,0.11834154246858472,37
SC,2006,0.07920777206688107,0.025112113523516257,0.09207478570254637,0.09729119093505578,32
