state,year,mean_mb,median_mb,std_mb,n_obs,mean_pe,median_pe,total_mktcap,mean_mktcap,total_emp,n_firms,mb_change,pe_change,mktcap_change,log_mb_change,log_mktcap_change
AB,2018,1.2530896624337897,0.8156945180869143,1.368905586772779,13,6.194210874150967,7.264427791269545,2085.517675162,160.42443655092308,0.8150000000000001,13,-42.09183912525199,-66.38524683719761,-61.083119009931615,-54.63118635909453,-94.38595973328877
AB,2019,2.173174484678241,1.1216853731522471,3.1968447392724135,14,12.940125668500238,12.235895063323857,3334.8880127,238.20628662142857,0.864,14,73.42529827095005,108.90676684096464,59.90696470318577,55.05767631661831,46.94219895210523
AB,2020,1.37630919797023,0.8360751776665923,1.5776737330152968,17,28.376654767029798,10.255253611017805,5359.45935131,315.2623147829412,3.556,17,-36.66826075523312,119.29195661604925,60.70882533086503,-45.678357263195046,47.4424003298866
AB,2021,2.498750315047993,1.6960528872235467,3.0014335075076417,19,11.012750432691924,6.577704898545266,10713.535034168,563.8702649562106,4.042,19,81.55442968288887,-61.19080799655288,99.89954829211116,59.63853108193714,69.26447958464301
AB,2022,1.589989059291179,1.2664332308283326,1.3122426258390256,20,16.002848042602654,4.335050487908359,9045.809055684,452.2904527842,6.434,20,-36.36862996210806,45.3120012154036,-15.566533111295456,-45.20635976551808,-16.920633586492784
AB,2023,3.8870463883709996,1.0342046197357715,9.371507017358029,21,8.296188753085925,6.431417353198948,9096.15948264,433.1504515542857,6.224,21,144.4700084982883,-48.1580482986536,0.5566160710009926,89.3922450774237,0.5550726882441737
AB,2024,1.4237764448816375,1.1779346331309153,1.1989078408213412,20,25.721250767763184,14.867640671273445,6018.12667452,300.906333726,10.392,20,-63.3712515204039,204.84931455406465,-33.838817514077434,-100.43367763222513,-41.30762623077935
AK,1990,2.322293823141536,2.322293823141536,1.730690574167929,2,10.945348904779761,10.945348904779761,341.119,170.5595,1.4709999999999999,2,,,,,
AK,1991,1.8737393010786492,1.8737393010786492,0.9504245343450128,2,12.434166401405493,12.434166401405493,370.6765,185.33825,1.4289999999999998,2,-19.315149426530986,13.602284491594197,8.664864753942148,-21.461935357059968,8.30983245540855
AK,1992,1.788333906799741,1.788333906799741,0.2692788388314216,2,12.1375489780494,12.1375489780494,505.2135,252.60675,1.679,2,-4.558019049381256,-2.385503087063112,36.294990375704984,-4.665165243501135,30.965139764205407
AK,1993,1.4856410254366725,1.4856410254366725,0.07236411575842007,2,14.256690578651817,14.256690578651817,471.362491432,235.681245716,1.202,2,-16.92597116299961,17.45938660626505,-6.700337296608261,-18.543806201136597,-6.9353693324695875
AK,1994,1.1416970883230968,1.1416970883230968,0.2230394469245601,2,10.583578573496041,10.583578573496041,422.02499231328005,211.01249615664003,1.13,2,-23.15121427213419,-25.764127971297558,-10.466997271851763,-26.333051667658186,-11.056288311131723
AK,1995,1.3225101372708354,1.3225101372708354,0.2207518610473701,2,11.999441273483132,11.999441273483132,539.8331193531001,269.91655967655004,1.101,2,15.83721731421015,13.377920238932894,27.9149645602903,14.701572055666162,24.61955177876094
AK,1996,1.3815571171422723,1.3815571171422723,0.08400413990972774,2,11.827814890059273,11.827814890059273,570.28712107603,285.143560538015,1.11,2,4.464765766808232,-1.4302864567796725,5.641373348753387,4.367965886667741,5.487990162851997
AK,1997,2.035118219859326,2.035118219859326,0.6036115159710869,2,14.842836300931797,14.842836300931797,1019.2532631094,509.6266315547,1.103,2,47.30612253432809,25.49094180875717,78.72633370822948,38.734270168341126,58.0685587985446
AK,1998,2.0810712802244677,2.0810712802244677,0.5008112992790646,2,15.548826658619149,15.548826658619149,1082.408,541.204,1.098,2,2.2580044695545087,4.7564383475888095,6.19617706181641,2.232888919166698,6.011792463713483
AK,1999,1.5228440913837165,1.629768256387921,0.42002547930602707,3,12.190225837944563,12.190225837944563,1303.6185625,434.53952083333337,2.684,3,-26.824030207198856,-21.600348980756166,20.43689278904075,-31.23031004361092,18.595571846369197
AK,2000,1.046796701202697,1.046796701202697,0.017623016294870827,2,9.628557346134064,9.628557346134064,284.306375,142.1531875,1.3860000000000001,2,-31.2604154866874,-21.01411840818226,-61.083119009931615,-37.48449589065705,-94.38595973328877
AK,2001,1.0728496586196965,1.3175299316072553,0.5283939714322872,3,12.721287006679553,12.721287006679553,345.82116999999994,115.27372333333331,1.467,3,2.4888268550202985,32.120384699035334,21.636797627207606,2.4583600356269018,19.586934983203097
AK,2002,0.9330467069675175,0.9330467069675175,0.3823875925073378,2,7.607007043353066,7.607007043353066,92.2005,46.10025,0.316,2,-13.03099185696217,-40.20253580192899,-61.083119009931615,-13.96183590388042,-94.38595973328877
AK,2003,1.334458345390703,1.334458345390703,0.7266956342952691,2,19.043241734986008,19.043241734986008,151.67000000000002,75.83500000000001,0.34400000000000003,2,43.02160175108578,150.3381635702023,64.50019251522498,35.78254940596263,49.77415545219701
AK,2004,1.2825567271262963,1.2825567271262963,0.6231128706919953,2,16.228652059242833,16.228652059242833,157.11491,78.557455,0.34800000000000003,2,-3.889339704283612,-14.779992371636208,3.5899716489747435,-3.9669946968232725,3.527034039691923
AK,2005,1.1750927780525737,1.1750927780525737,0.6163442956384991,2,14.504464386970671,14.504464386970671,148.38035,74.190175,0.34400000000000003,2,-8.378884676275245,-10.624343081470967,-5.5593450678869445,-8.750842423833413,-5.719853889316262
AK,2006,1.2789950813427415,1.2789950813427415,0.6016424669626574,2,13.389423038784013,13.389423038784013,177.74485,88.872425,0.34800000000000003,2,8.84205104743816,-7.687573414901805,19.790019365771826,8.472757236018468,18.05701854194801
AK,2007,3.5935794285387286,1.3247329644643016,4.4235444244679165,3,10.490007758075953,11.521358723623264,791.8389999999999,263.9463333333333,1.378,3,180.9689795496353,-21.65451993196099,202.25133109034746,103.30740841900956,110.60859596795339
AK,2008,8.459022940085605,0.6762687022007297,15.89763734662311,4,5.670185580835776,5.670185580835776,483.4446300000001,120.86115750000002,1.361,4,135.39268042630493,-45.9467932569405,-38.946600255860076,85.60849141588346,-49.342129911718935
AK,2009,3.116256444893855,0.8222931981184716,5.010492850454594,4,8.36294523972209,10.42440666020615,651.66944,162.91736,1.297,4,-63.16056278643549,47.48979765296155,34.79712040652927,-99.86012512224359,29.860065029257754
AK,2010,0.699735656672213,0.7807112006812761,0.4074584595991979,3,9.175496112729661,9.175496112729661,358.20124,119.40041333333333,0.403,3,-69.71631810875708,9.716085059939639,-45.033291725326265,-119.45781805214149,-59.844248812294595
AK,2011,2.227898892788632,0.8348959723662777,3.1878533440254624,4,7.087180226167165,7.087180226167165,360.68698,90.171745,0.396,4,218.39150564143367,-22.759705425249564,0.6939506965414344,115.81115893644365,0.6915539405101256
AK,2012,1.2819742159175949,1.0824658740642887,1.1319011735848792,5,12.379137841640988,12.151565762004177,886.1759,177.23517999999999,0.397,5,-42.45815103786131,74.66943758442812,145.6911253076005,-55.26576948714238,89.89049728525114
AK,2013,1.193655536401702,1.0229481874364499,0.6335181784540389,6,16.406253026585624,15.695212350776686,1101.66342,183.61057000000002,1.24,6,-6.889271127241603,32.53146734822041,24.316562885540005,-7.138076803582635,21.76610529319669
AK,2014,2.8905501061552408,1.0865906419202493,3.898999557829895,4,12.9729389037023,12.9729389037023,819.56036,204.89009,1.2779999999999998,4,142.15948554713367,-20.92686317417991,-25.607009807042523,88.44263542894089,-29.58084664244174
AK,2015,2.78665115262542,0.9738148601742109,3.8937185782550396,4,9.82625936603339,10.286689534949108,734.5439,183.635975,1.108,4,-3.594435305188959,-24.255718469242847,-10.37342264821104,-3.6606260987710915,-10.95182877610954
AK,2016,9.383113207140854,1.1472007518414562,16.882508255821804,4,21.304882193340287,15.125723405731733,898.9331699999999,224.73329249999998,1.096,4,219.9953195669534,116.81579327109218,22.379774714622226,116.30536862787886,20.19589311770016
AK,2017,4.333632680031508,1.2903279541905257,7.047020684186104,5,13.912162125867217,17.68817580412136,1178.74438,235.74887600000002,1.021,5,-53.8145540359305,-34.69965241011268,31.127031389886326,-77.2505459953123,27.099637261894216
AK,2018,3.0788785904807137,1.4949437020894267,4.322888839815123,5,11.659310464435368,11.715265637666018,1327.31133,265.462266,1.029,5,-28.95386347191917,-16.193397122960985,12.603831035868861,-34.1840709727383,11.870555254785309
AK,2019,3.6243603558974202,1.405382137809897,5.4430033807213665,5,33.331983236140026,16.449512316471214,1307.08015,261.41603,1.015,5,17.716897545204557,185.88297170585903,-1.5242226554338267,16.311238250393913,-1.535958333576204
AK,2020,7.814693601549299,1.2037028627479474,14.924448660322886,5,8.524636297248794,8.888558352402745,1146.28141,229.256282,1.013,5,115.61580069800534,-66.38524683719761,-12.302133117085434,76.83279374578822,-13.12726097915684
AK,2021,2.0287442195116507,1.38232038027044,1.4883283889440304,4,8.272008425409076,7.17983543984596,1237.8463550000001,309.46158875000003,0.457,4,-69.71631810875708,-2.963503227947084,7.987998775972471,-119.45781805214149,7.68499125168729
AK,2022,4.215837375997474,1.6166434743586626,5.353161790781148,4,11.277075296817427,11.041843185094821,1310.9405629999999,327.73514074999997,0.48,4,107.80526867069962,36.328140843978176,5.904949972567453,73.14312468825621,5.737180747748827
AK,2023,2.8865322656439885,1.349445829573527,3.2586347551480834,4,11.88068296529053,12.42020674175002,1118.4051569,279.601289225,0.478,4,-31.53122361696814,5.352519625753049,-14.68681430219807,-37.879236386288675,-15.88411631577209
AK,2024,9.056248771218721,1.6100604980607676,13.053964022851577,3,11.322579886968466,11.322579886968466,1275.690425,425.23014166666667,0.512,3,213.74147031050984,-4.697567302759998,14.063353260634436,114.3399117827026,13.158383840191856
AL,1990,1.497889019546525,1.1633390132131476,1.079109921738184,34,16.294588631402448,11.58330060443971,9281.63639801369,272.98930582393206,101.391,34,,,,,
AL,1991,1.7879787163821956,1.4191587206347656,1.3483090265892266,36,15.984178433593806,12.616399256071356,11751.46382358045,326.4295506550125,104.796,36,19.366568086832835,-1.9049894712311333,26.60982740172104,17.702897649053835,23.593994631528403
