state,year,unemployment_rate
IL,2020,9.333333333333334
IL,2021,6.1000000000000005
IL,2022,4.583333333333333
IL,2023,4.483333333333333
IN,1995,4.4
IN,1996,3.9416666666666664
IN,1997,3.375
IN,1998,2.983333333333333
IN,1999,2.9250000000000003
IN,2000,3.025
IN,2001,4.175
IN,2002,5.116666666666666
IN,2003,5.208333333333333
IN,2004,5.416666666666667
IN,2005,5.3999999999999995
IN,2006,5.016666666666667
IN,2007,4.641666666666667
IN,2008,5.933333333333334
IN,2009,10.158333333333333
IN,2010,9.975
IN,2011,8.908333333333333
IN,2012,8.216666666666667
IN,2013,7.508333333333333
IN,2014,5.95
IN,2015,4.8
IN,2016,4.391666666666667
IN,2017,3.525
IN,2018,3.4333333333333336
IN,2019,3.3166666666666664
IN,2020,7.383333333333333
IN,2021,3.891666666666667
IN,2022,3.0666666666666664
IN,2023,3.4499999999999997
IA,1995,3.5083333333333333
IA,1996,3.5833333333333335
IA,1997,3.141666666666667
IA,1998,2.8499999999999996
IA,1999,2.6833333333333336
IA,2000,2.6750000000000003
IA,2001,3.3333333333333335
IA,2002,4.0
IA,2003,4.458333333333333
IA,2004,4.508333333333334
IA,2005,4.283333333333333
IA,2006,3.691666666666667
IA,2007,3.716666666666667
IA,2008,4.158333333333333
IA,2009,6.466666666666666
IA,2010,6.091666666666666
IA,2011,5.583333333333333
IA,2012,5.008333333333334
IA,2013,4.7250000000000005
IA,2014,4.258333333333334
IA,2015,3.716666666666667
IA,2016,3.6
IA,2017,3.091666666666667
IA,2018,2.5833333333333335
IA,2019,2.6583333333333337
IA,2020,5.216666666666667
IA,2021,3.85
IA,2022,2.8249999999999997
IA,2023,2.9333333333333336
KS,1995,4.333333333333333
KS,1996,4.25
KS,1997,3.7916666666666665
KS,1998,3.6916666666666664
KS,1999,3.466666666666667
KS,2000,3.7416666666666667
KS,2001,4.3
KS,2002,5.091666666666666
KS,2003,5.583333333333333
KS,2004,5.491666666666667
KS,2005,5.083333333333333
KS,2006,4.416666666666667
KS,2007,4.258333333333334
KS,2008,4.583333333333333
KS,2009,7.041666666666667
KS,2010,6.941666666666666
KS,2011,6.3500000000000005
KS,2012,5.683333333333334
KS,2013,5.316666666666666
KS,2014,4.5249999999999995
KS,2015,4.175
KS,2016,4.05
KS,2017,3.641666666666667
KS,2018,3.3083333333333336
KS,2019,3.15
KS,2020,5.825
KS,2021,3.391666666666667
KS,2022,2.725
KS,2023,2.875
KY,1995,5.391666666666667
KY,1996,5.383333333333333
KY,1997,5.216666666666667
KY,1998,4.516666666666667
KY,1999,4.508333333333333
KY,2000,4.1499999999999995
KY,2001,5.158333333333333
KY,2002,5.783333333333334
KY,2003,6.183333333333334
KY,2004,5.516666666666667
KY,2005,5.841666666666666
KY,2006,5.733333333333333
KY,2007,5.366666666666667
KY,2008,6.541666666666667
KY,2009,10.625
KY,2010,10.283333333333333
KY,2011,9.375
KY,2012,8.191666666666666
KY,2013,7.916666666666667
KY,2014,6.441666666666666
KY,2015,5.25
KY,2016,5.075
KY,2017,4.75
KY,2018,4.2
KY,2019,4.083333333333333
KY,2020,6.449999999999999
KY,2021,4.475
KY,2022,4.05
KY,2023,4.291666666666667
LA,1995,6.8500000000000005
LA,1996,6.425
LA,1997,5.8500000000000005
LA,1998,5.516666666666667
LA,1999,4.95
LA,2000,5.125
LA,2001,5.591666666666666
LA,2002,5.966666666666666
LA,2003,6.233333333333333
LA,2004,5.683333333333334
LA,2005,7.05
LA,2006,4.141666666666667
LA,2007,4.083333333333333
LA,2008,4.666666666666667
LA,2009,6.708333333333333
LA,2010,7.433333333333334
LA,2011,7.341666666666666
LA,2012,6.716666666666666
LA,2013,6.375
LA,2014,6.241666666666667
LA,2015,6.266666666666667
LA,2016,6.041666666666667
LA,2017,5.125
LA,2018,4.825
LA,2019,4.633333333333334
LA,2020,8.683333333333334
LA,2021,5.608333333333333
LA,2022,3.6666666666666665
LA,2023,3.725
ME,1995,5.866666666666667
ME,1996,5.316666666666666
ME,1997,5.175
ME,1998,4.458333333333333
ME,1999,3.9583333333333335
ME,2000,3.3083333333333336
ME,2001,3.75
ME,2002,4.433333333333334
ME,2003,5.1000000000000005
ME,2004,4.666666666666667
ME,2005,4.883333333333334
ME,2006,4.708333333333333
ME,2007,4.7
ME,2008,5.408333333333334
ME,2009,8.299999999999999
ME,2010,8.35
ME,2011,7.7749999999999995
ME,2012,7.208333333333333
ME,2013,6.683333333333334
ME,2014,5.575
ME,2015,4.391666666666667
ME,2016,3.7916666666666665
ME,2017,3.375
ME,2018,3.1750000000000003
ME,2019,2.9
ME,2020,5.116666666666667
ME,2021,4.733333333333333
ME,2022,2.841666666666667
ME,2023,2.6083333333333334
MD,1995,4.9750000000000005
MD,1996,4.941666666666667
MD,1997,4.8500000000000005
MD,1998,4.233333333333333
MD,1999,3.4250000000000003
MD,2000,3.5749999999999997
MD,2001,4.141666666666667
MD,2002,4.483333333333333
MD,2003,4.4750000000000005
MD,2004,4.308333333333333
MD,2005,4.166666666666667
MD,2006,3.85
MD,2007,3.4416666666666664
MD,2008,4.316666666666666
MD,2009,7.133333333333333
MD,2010,7.766666666666667
MD,2011,7.283333333333334
MD,2012,6.866666666666667
MD,2013,6.566666666666666
MD,2014,5.733333333333333
MD,2015,5.033333333333333
MD,2016,4.25
MD,2017,4.066666666666666
MD,2018,3.8083333333333336
MD,2019,3.3833333333333333
MD,2020,6.516666666666667
MD,2021,5.2
MD,2022,2.966666666666667
MD,2023,2.191666666666667
MA,1995,5.458333333333333
MA,1996,4.616666666666667
MA,1997,4.066666666666666
MA,1998,3.375
MA,1999,3.283333333333333
MA,2000,2.8083333333333336
MA,2001,3.7916666666666665
MA,2002,5.241666666666666
MA,2003,5.741666666666667
MA,2004,5.133333333333334
MA,2005,4.791666666666667
MA,2006,4.691666666666667
MA,2007,4.516666666666667
MA,2008,5.316666666666666
MA,2009,8.15
MA,2010,8.1
MA,2011,7.233333333333333
MA,2012,6.7
MA,2013,6.658333333333334
MA,2014,5.758333333333333
MA,2015,4.8
MA,2016,4.016666666666667
MA,2017,3.8333333333333335
MA,2018,3.4583333333333335
MA,2019,3.0500000000000003
MA,2020,9.341666666666667
MA,2021,5.291666666666667
MA,2022,3.625
MA,2023,3.4916666666666667
MI,1995,5.325
MI,1996,4.908333333333333
MI,1997,4.3
MI,1998,3.983333333333333
MI,1999,3.7416666666666667
MI,2000,3.6916666666666664
MI,2001,5.1499999999999995
MI,2002,6.191666666666666
MI,2003,7.108333333333333
MI,2004,6.941666666666666
MI,2005,6.758333333333333
MI,2006,6.866666666666667
MI,2007,7.066666666666666
MI,2008,8.233333333333333
MI,2009,13.483333333333334
MI,2010,12.741666666666667
MI,2011,10.141666666666667
MI,2012,9.066666666666666
MI,2013,8.733333333333333
